id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
2789	macrophytes	-0.4551	-0.8092	4	11	22	17	2011.3529	29.0588	0.6703
2801	management	0.2023	-0.5411	1	18	33	19	2011.9474	54.3684	1.5167
3232	north sea	-0.857	-0.5103	3	14	30	17	2010.5294	51.7059	1.242
3287	nutrients	-0.413	-0.524	4	24	33	14	2014.3571	21	1.0568
3399	pacific decadal oscillation	-0.4336	0.6314	1	10	18	14	2011.6429	23.2857	0.7923
3420	paleolimnology	-0.2215	-0.9548	4	12	23	12	2013.75	15.25	0.8574
3532	phenotypic plasticity	-0.8251	0.4862	3	6	7	10	2010.4	30.9	0.7629
3536	phosphorus	-0.0427	-0.4921	4	13	20	13	2015.0769	9.9231	0.7246
3576	phytoplankton	-0.5365	-0.6632	4	23	46	30	2012.4333	22.2	0.9217
3616	plankton	-0.6341	-0.427	3	18	26	14	2009.1429	61.5714	1.2048
3710	population dynamics	-0.6797	0.2215	1	14	22	20	2011.7	22.6	0.5149
3731	positive feedback	1.0302	0.4562	2	13	16	11	2011	36.1818	0.9688
3762	predation	-0.4678	-0.0581	1	13	18	13	2012.2308	28	0.6683
3917	recovery	0.505	0.7777	5	9	12	10	2012.7	40.3	1.505
3924	recruitment	-0.527	0.4099	1	12	17	19	2011	31.2632	0.6182
3948	regime change	0.5655	0.617	5	7	7	10	2011	22.9	0.4883
3953	regime shifts	0.3149	-0.3297	2	51	152	96	2012.5417	51.4271	1.2354
3981	remote sensing	0.0831	-0.8551	2	10	11	14	2011	22.4286	0.8956
3996	resilience	0.5956	-0.0485	7	53	198	131	2013.1679	41.084	1.2781
4024	restoration	0.4485	0.2716	2	29	48	28	2013.2857	39.3214	1.2874
4139	savanna	0.5098	-0.292	8	9	14	12	2013	15.8333	0.6269
4402	social-ecological systems	0.9143	-0.8896	7	6	21	17	2012.9412	80.2353	1.7908
4553	species richness	0.1354	-0.1244	4	12	16	10	2013.2	10.4	0.4832
4589	stability	0.392	0.0713	5	18	26	18	2011.5556	36.1111	0.8506
4717	succession	0.0546	0.6393	1	12	14	11	2010	32.0909	0.9438
4747	sustainability	-0.1061	-0.3184	1	11	19	16	2011.9375	74.875	1.4308
4814	temperature	-0.9423	-0.1686	3	12	21	23	2010	42.5217	0.9718
4883	thresholds	0.3902	-0.5719	7	31	61	41	2011.4146	53.8049	1.3145
4900	time series	-0.9746	-0.3154	3	14	21	17	2013.7647	20.1765	0.8468
4915	tipping point	0.7874	0.0766	2	21	32	20	2015.25	20.35	1.3709
4995	trophic cascade	-0.1414	-0.1222	5	18	25	18	2010.8889	51.0556	1.1289
5107	variance	0.6367	-0.5043	7	12	19	10	2009.2	108.3	1.8485
5112	vegetation	0.2791	0.8802	6	7	8	10	2011.1	21.5	0.8071
5287	zooplankton	-0.8507	-0.6639	4	13	33	25	2010.6	22.84	0.6967
