label,type,author,title,journal,year,volume,number,month,keep_yn,abstract,doi,article.number,issn,eissn,unique.id,pages,orcid.numbers,researcherid.numbers,note,editor,booktitle,series,organization,isbn,book.author
X.ISI.000424881800002,article,"Yamane, Lauren and Botsford, Louis W. and Kilduff, D. Patrick",Tracking restoration of population diversity via the portfolio effect,JOURNAL OF APPLIED ECOLOGY,2018,55,2,MAR,n,"1. Declines in diversity among populations managed together have diminished aggregate stability through a decreased portfolio effect. Although the portfolio effect has been quantified in a variety of ways, management recommendations for the recovery of lost diversity rarely specify the stability benefits possible through such improvements. 2. We introduce a metric, the Diversity Deficit (DD), that relates past losses and potential gains in aggregate stability to the changes in population diversity (i.e. covariability among population time series). We illustrate the use of this metric in retrospective analyses of the aggregate Sacramento River Fall-run Chinook salmon stock (Oncorhynchus tshawytscha), and project potential future improvements in stability through population diversity. 3. In the retrospective analysis, we removed individual time series from the stability calculations to determine their effects on times and locations of past losses in diversity and stability. We found an early threefold loss in stock stability resulting from the presence of a single tributary, the Sacramento River mainstem. Other shifts in stability resulted from an increase in variability of a single population, and from the synchronizing effects of low ocean survival that led to the 2008-2009 fishery closure. Only one, smaller increase in the DD (i.e. in lost stability) was due to portfolio-wide increases in covariabilities among tributary abundances. 4. In a prospective analysis using the DD applied to California salmon, we found that increasing biodiversity to the point of population independence and to its early high value would have reduced the probability of triggering a fishery closure. 5. Synthesis and applications. Analyses with the Diversity Deficit (DD) metric illustrate a way to identify the times and locations of losses in population diversity, and to quantify how much restoration of population diversity could increase stability, and thus benefit resource services. In our research, the benefit was a reduction in the probability of falling below a critical management threshold leading to fishery closure, but other tangible benefits (e.g. reduction in probability of extinction) would also be possible.",10.1111/1365-2664.12978,NA,0021-8901,1365-2664,ISI:000424881800002,472-481,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000427427300046,article,"Thompson, Robin N. and Gilligan, Christopher A. and Cunniffe, Nik J.",Control fast or control smart: When should invading pathogens be controlled?,PLOS COMPUTATIONAL BIOLOGY,2018,14,2,FEB,n,"The intuitive response to an invading pathogen is to start disease management as rapidly as possible, since this would be expected to minimise the future impacts of disease. However, since more spread data become available as an outbreak unfolds, processes underpinning pathogen transmission can almost always be characterised more precisely later in epidemics. This allows the future progression of any outbreak to be forecast more accurately, and so enables control interventions to be targeted more precisely. There is also the chance that the outbreak might die out without any intervention whatsoever, making prophylactic control unnecessary. Optimal decision-making involves continuously balancing these potential benefits of waiting against the possible costs of further spread. We introduce a generic, extensible data-driven algorithm based on parameter estimation and outbreak simulation for making decisions in real-time concerning when and how to control an invading pathogen. The Control Smart Algorithm (CSA) resolves the trade-off between the competing advantages of controlling as soon as possible and controlling later when more information has become available. We show-using a generic mathematical model representing the transmission of a pathogen of agricultural animals or plants through a population of farms or fields-how the CSA allows the timing and level of deployment of vaccination or chemical control to be optimised. In particular, the algorithm outperforms simpler strategies such as intervening when the outbreak size reaches a pre-specified threshold, or controlling when the outbreak has persisted for a threshold length of time. This remains the case even if the simpler methods are fully optimised in advance. Our work highlights the potential benefits of giving careful consideration to the question of when to start disease management during emerging outbreaks, and provides a concrete framework to allow policy-makers to make this decision.",10.1371/journal.pcbi.1006014,e1006014,1553-734X,1553-7358,ISI:000427427300046,NA,"Thompson, Robin/0000-0001-8545-5212",NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000425027700014,article,"Hamilton, Olivia N. P. and Kincaid, Sophie E. and Constantine, Rochelle and Kozmian-Ledward, Lily and Walker, Cameron G. and Fewster, Rachel M.",Accounting for uncertainty in duplicate identification and group size judgements in mark-recapture distance sampling,METHODS IN ECOLOGY AND EVOLUTION,2018,9,2,FEB,n,"1. Mark-recapture distance sampling (MRDS) surveys with two independent observers are widely used to estimate wildlife population abundance. The analysis relies on accurate identification of duplicate sightings common to both observers, and correct judgements of group size, both of which are hard to achieve for species that exhibit complex grouping patterns. 2. In this paper, we examine the impact of these sources of uncertainty on bias and precision of abundance estimates, using a case study of 22 aerial surveys of common dolphins (Delphinus delphis) in the Hauraki Gulf, New Zealand. We develop a novel probabilistic method to identify duplicate observations, and account for various sources of uncertainty using a simulation-intensive approach. 3. For our case study, identifying duplicates using reasonable but arbitrary thresholds of time and angle discrepancies created a range of abundance estimates differing by up to 20\%, whereas our novel threshold-free probabilistic analysis returned an estimate roughly central to this range. Uncertainty in group size made a smaller impact of up to 5\% on abundance estimates. All analysis choices returned similar values for the coefficient of variation, from 20 to 23\%. 4. Generating robust estimates of abundance, and accounting for all associated sources of uncertainty, is critical for informing conservation management. Our novel approach provides a way to eliminate arbitrary decisions associated with MRDS, and account for a wider range of uncertainties. Our method allows for the reliable application of MRDS to a wider range of terrestrial and marine species, and will be a useful tool for producing robust abundance estimates for species that exhibit complex grouping patterns.",10.1111/2041-210X.12895,NA,2041-210X,2041-2096,ISI:000425027700014,354-362,"Fewster, Rachel/0000-0002-4384-978X Kozmian-Ledward, Lily/0000-0001-6522-3502",NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000405457000004,article,"Manfredo, Michael J. and Bruskotter, Jeremy T. and Teel, Tara L. and Fulton, David and Schwartz, Shalom H. and Arlinghaus, Robert and Oishi, Shigehiro and Uskul, Ayse K. and Redford, Kent and Kitayama, Shinobu and Sullivan, Leeann",Why social values cannot be changed for the sake of conservation,CONSERVATION BIOLOGY,2017,31,4,AUG,n,"The hope for creating widespread change in social values has endured among conservation professionals since early calls by Aldo Leopold for a ``land ethic.{''} However, there has been little serious attention in conservation to the fields of investigation that address values, how they are formed, and how they change. We introduce a social-ecological systems conceptual approach in which values are seen not only as motivational goals people hold but also as ideas that are deeply embedded in society's material culture, collective behaviors, traditions, and institutions. Values define and bind groups, organizations, and societies; serve an adaptive role; and are typically stable across generations. When abrupt value changes occur, they are in response to substantial alterations in the social-ecological context. Such changes build on prior value structures and do not result in complete replacement. Given this understanding of values, we conclude that deliberate efforts to orchestrate value shifts for conservation are unlikely to be effective. Instead, there is an urgent need for research on values with a multilevel and dynamic view that can inform innovative conservation strategies for working within existing value structures. New directions facilitated by a systems approach will enhance understanding of the role values play in shaping conservation challenges and improve management of the human component of conservation.",10.1111/cobi.12855,NA,0888-8892,1523-1739,ISI:000405457000004,772-780,"Arlinghaus, Robert/0000-0003-2861-527X",NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000406619800023,article,"Liu, Xiaoping and Chang, Xiao and Liu, Rui and Yu, Xiangtian and Chen, Luonan and Aihara, Kazuyuki",Quantifying critical states of complex diseases using single-sample dynamic network biomarkers,PLOS COMPUTATIONAL BIOLOGY,2017,13,7,JUL,n,"Dynamic network biomarkers (DNB) can identify the critical state or tipping point of a disease, thereby predicting rather than diagnosing the disease. However, it is difficult to apply the DNB theory to clinical practice because evaluating DNB at the critical state required the data of multiple samples on each individual, which are generally not available, and thus limit the applicability of DNB. In this study, we developed a novel method, i.e., single-sample DNB (sDNB), to detect early-warning signals or critical states of diseases in individual patients with only a single sample for each patient, thus opening a new way to predict diseases in a personalized way. In contrast to the information of differential expressions used in traditional biomarkers to ``diagnose disease{''}, sDNB is based on the information of differential associations, thereby having the ability to ``predict disease{''} or ``diagnose near-future disease{''}. Applying this method to datasets for influenza virus infection and cancer metastasis led to accurate identification of the critical states or correct prediction of the immediate diseases based on individual samples. We successfully identified the critical states or tipping points just before the appearance of disease symptoms for influenza virus infection and the onset of distant metastasis for individual patients with cancer, thereby demonstrating the effectiveness and efficiency of our method for quantifying critical states at the single-sample level.",10.1371/journal.pcbi.1005633,e1005633,1553-734X,1553-7358,ISI:000406619800023,NA,"liu, Xiaoping/0000-0002-3246-4227 Liu, Rui/0000-0002-4547-8695","Yu, Xiangtian/S-9058-2018 ",NA,NA,NA,NA,NA,NA,NA
X.ISI.000399259300008,article,"Mesgaran, Mohsen B. and Onofri, Andrea and Mashhadi, Hamid R. and Cousens, Roger D.",Water availability shifts the optimal temperatures for seed germination: A modelling approach,ECOLOGICAL MODELLING,2017,351,NA,10-May,n,"Hydrothermal time (HTT) models have been widely applied to describe the germination responses of seeds to temperature and water. Some HIT models assume that the thermoinhibition of germination is caused by an upward shift in base water potential psi(b(g)) that only happens above the optimum temperature To, and that To is a parameter independent of the water stress level. However, the available data suggest that these assumptions may be invalid in practice. We introduce a new HIT model that uses a log logistic distribution for psi(b(g))and assumes a linear increase in psi(b(g)) across both sub-and supra-optimal temperature ranges. We also provide explicit mathematical solutions for estimating To and other cardinal temperatures within a HTT modelling framework. Germination data were obtained for two winter annual plant species (Hordeum spontaneum and Phalaris minor) and used to build and test the model. For both species, the linear upward shift in psi(b(g))) was confirmed across both sub-and supra-optimal ranges, while the hydrotime constant theta(H) decreased nonlinearly with temperature. This interplay between OH and psi(b(g)) resulted in a curvilinear germination rate response to temperature that accounts for thermoinhibition of germination at high temperatures. The optimal temperature decreased proportionally with decreasing water potential and became cooler for higher (slower) germination fractions than for the lower (faster) ones. The new modelling approach not only gave good fits to germination data (with root mean square errors <10\%), but also provided useful insights about the adaptive strategies evolved by plant species to optimize their germination timing under the various temperature and moisture environments. (C) 2017 Elsevier B.V. All rights reserved.",10.1016/j.ecolmodel.2017.02.020,NA,0304-3800,1872-7026,ISI:000399259300008,87-95,"Mesgaran, Mohsen/0000-0002-0841-6188 ONOFRI, Andrea/0000-0002-6603-329X",NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000396017400002,article,"Thiault, Lauric and Kernaleguen, Laetitia and Osenberg, Craig W. and Claudet, Joachim",Progressive-Change BACIPS: a flexible approach for environmental impact assessment,METHODS IN ECOLOGY AND EVOLUTION,2017,8,3,MAR,n,"The Before-After Control-Impact Paired Series (BACIPS) design distinguishes natural spatial and temporal variability from variation induced by an environmental impact (or intervention) of interest. BACIPS is a powerful tool to derive inferences about interventions when classic experimental approaches (e.g. which rely on spatial replicates and random assignment of treatments) are not feasible or desirable. Previously applied BACIPS designs generally assume that effects are sudden, constant and long-lived: that is, that systems exhibit step-changes' in response to interventions. However, complex ecological interactions or gradual interventions may create delayed and/or progressive responses, potentially impeding the reliability of classic (step-change) analyses. We propose a novel approach, the Progressive-Change BACIPS, which generalizes and expands the scope of BACIPS analyses. We evaluate the relative performance of this approach using both simulated and real data that exhibit step-change, linear, asymptotic and sigmoid responses following an intervention. We quantify the statistical power and accuracy of the Progressive-Change BACIPS under varying initial population densities, intensity of spatial sampling, effect sizes and number of sampling dates After the intervention. We show that Progressive-Change BACIPS identified the correct model among the set of candidate models under most conditions and led to accurate estimates of the parameters that were used to generate the simulated data. When data were sparse, and the dynamics complex, simpler (more parsimonious) models were favoured over the more complex models that actually generated the simulated data. Application of the Progressive-Change BACIPS to existing data sets from the literature led to strong support for specific models (over alternatives) and led to more specific inferences than possible under the classic BACIPS approach. The Progressive-Change BACIPS proposed here is more flexible than the original BACIPS formulation because the data are used to inform the form of the final model, rather than having the form of the model imposed on the data. This leads to better estimates of the effects of environmental impacts and the time-scales over which they operate. As a result, the Progressive-Change BACIPS should be applicable to a wide range of studies and should help improve investigation of time-dependent effects. R code to perform Progressive-Change BACIPS analysis is provided.",10.1111/2041-210X.12655,NA,2041-210X,2041-2096,ISI:000396017400002,288-296,"Claudet, Joachim/0000-0001-6295-1061 Osenberg, Craig/0000-0003-1918-7904","Claudet, Joachim/C-6335-2008 ",NA,NA,NA,NA,NA,NA,NA
X.ISI.000395718800008,article,"Harper, Angela F. and Leuthaeuser, Janelle B. and Babbitt, Patricia C. and Morris, John H. and Ferrin, Thomas E. and Poole, Leslie B. and Fetrow, Jacquelyn S.",An Atlas of Peroxiredoxins Created Using an Active Site Profile-Based Approach to Functionally Relevant Clustering of Proteins,PLOS COMPUTATIONAL BIOLOGY,2017,13,2,FEB,n,"Peroxiredoxins (Prxs or Prdxs) are a large protein superfamily of antioxidant enzymes that rapidly detoxify damaging peroxides and/or affect signal transduction and, thus, have roles in proliferation, differentiation, and apoptosis. Prx superfamily members are widespread across phylogeny and multiple methods have been developed to classify them. Here we present an updated atlas of the Prx superfamily identified using a novel method called MISST (Multi-level Iterative Sequence Searching Technique). MISST is an iterative search process developed to be both agglomerative, to add sequences containing similar functional site features, and divisive, to split groups when functional site features suggest distinct functionally-relevant clusters. Superfamily members need not be identified initially-MISST begins with a minimal representative set of known structures and searches GenBank iteratively. Further, the method's novelty lies in the manner in which isofunctional groups are selected; rather than use a single or shifting threshold to identify clusters, the groups are deemed isofunctional when they pass a self-identification criterion, such that the group identifies itself and nothing else in a search of GenBank. The method was preliminarily validated on the Prxs, as the Prxs presented challenges of both agglomeration and division. For example, previous sequence analysis clustered the Prx functional families Prx1 and Prx6 into one group. Subsequent expert analysis clearly identified Prx6 as a distinct functionally relevant group. The MISST process distinguishes these two closely related, though functionally distinct, families. Through MISST search iterations, over 38,000 Prx sequences were identified, which the method divided into six isofunctional clusters, consistent with previous expert analysis. The results represent the most complete computational functional analysis of proteins comprising the Prx superfamily. The feasibility of this novel method is demonstrated by the Prx superfamily results, laying the foundation for potential functionally relevant clustering of the universe of protein sequences.",10.1371/journal.pcbi.1005284,e1005284,1553-734X,1553-7358,ISI:000395718800008,NA,"Morris, John ""Scooter""/0000-0003-0290-7979 Poole, Leslie/0000-0003-0334-7328 Fetrow, Jacquelyn/0000-0002-0528-2049",NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000395634300013,article,"Wagenhoff, Annika and Clapcott, Joanne E. and Lau, Kelvin E. M. and Lewis, Gillian D. and Young, Roger G.",Identifying congruence in stream assemblage thresholds in response to nutrient and sediment gradients for limit setting,ECOLOGICAL APPLICATIONS,2017,27,2,NA,n,"The setting of numeric instream objectives (effects-based criteria) and catchment limits for major agricultural stressors, such as nutrients and fine sediment, is a promising policy instrument to prevent or reduce degradation of stream ecosystem health. We explored the suitability of assemblage thresholds, defined as a point at which a small increase in a stressor will result in a disproportionally large change in assemblage structure relative to other points across the stressor gradient, to inform instream nutrient and sediment objectives. Identification and comparison of thresholds for macroinvertebrate, periphyton, and bacterial assemblages aimed at making the setting of objectives more robust and may further provide a better understanding of the underlying mechanisms of nutrient and fine sediment effects. Gradient forest, a novel approach to assemblage threshold identification based on regression-tree-based random forest models for individual taxa, allowed inclusion of multiple predictors to strengthen the evidence of cause and effect between stressors and multispecies responses. The most prominent macroinvertebrate and periphyton assemblage threshold across the nitrogen (N) gradient was located at very low levels and mainly attributed to declines of multiple taxa. This provided strong evidence for stream assemblages being significantly affected when N concentrations exceed reference conditions and for effects cascading through the ecosystem. The most prominent macroinvertebrate assemblage threshold across a gradient of suspended fine sediment was also located at very low levels and attributed to declines of multiple taxa. However, this threshold did not correspond with periphyton assemblage thresholds, suggesting that the sensitivity of macroinvertebrate assemblages is unrelated to sediment effects on periphyton assemblages. Overall, the spectrum of N concentrations and fine sediment levels within which these stream assemblages changed most dramatically were relatively narrow given the wide gradients tested. We conclude that assemblage thresholds can inform the setting of generic instream nutrient and sediment objectives for stream ecosystem health. For example, the most stringent objective for instream N concentration should be set at values similar to reference concentrations for full protection of sensitive taxa or overall stream biodiversity. To avoid severe degradation of stream biodiversity, the least stringent N objective should stay well below the point where significant turnover subsided.",10.1002/eap.1457,NA,1051-0761,1939-5582,ISI:000395634300013,469-484,"Young, Roger/0000-0002-0999-4887","Young, Roger/B-6534-2008",NA,NA,NA,NA,NA,NA,NA
X.ISI.000394144400042,article,"Liang, Hualou and Wang, Hongbin",Structure-Function Network Mapping and Its Assessment via Persistent Homology,PLOS COMPUTATIONAL BIOLOGY,2017,13,1,JAN,n,"Understanding the relationship between brain structure and function is a fundamental problem in network neuroscience. This work deals with the general method of structure-function mapping at the whole-brain level. We formulate the problem as a topological mapping of structure-function connectivity via matrix function, and find a stable solution by exploiting a regularization procedure to cope with large matrices. We introduce a novel measure of network similarity based on persistent homology for assessing the quality of the network mapping, which enables a detailed comparison of network topological changes across all possible thresholds, rather than just at a single, arbitrary threshold that may not be optimal. We demonstrate that our approach can uncover the direct and indirect structural paths for predicting functional connectivity, and our network similarity measure outperforms other currently available methods. We systematically validate our approach with (1) a comparison of regularized vs. non-regularized procedures, (2) a null model of the degree-preserving random rewired structural matrix, (3) different network types (binary vs. weighted matrices), and (4) different brain parcellation schemes (low vs. high resolutions). Finally, we evaluate the scalability of our method with relatively large matrices (2514x2514) of structural and functional connectivity obtained from 12 healthy human subjects measured non-invasively while at rest. Our results reveal a nonlinear structure-function relationship, suggesting that the resting-state functional connectivity depends on direct structural connections, as well as relatively parsimonious indirect connections via polysynaptic pathways.",10.1371/journal.pcbi.1005325,e1005325,1553-7358,NA,ISI:000394144400042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000402376300004,article,"Reuchlin-Hugenholtz, Emilie and Shackell, Nancy L. and Hutchings, Jeffrey A.",Spatial reference points for groundfish,ICES JOURNAL OF MARINE SCIENCE,2016,73,10,NOV,n,"According to density-dependent habitat selection theory, areas of high density can be indicative of high population productivity and have positive individual fitness consequences. Here, we explore six groundfish populations on the Scotian Shelf, Canada, where a decline in areas of high density beyond a certain threshold is associated with disproportionately large declines in Spawning Stock Biomass (SSB). This is evidenced by empirical, concave, positive relationships between high-density areas (HDAs) and SSB. We introduce a methodology to estimate the threshold below which SSB declines increasingly faster per unit of HDA decline. The spatial threshold among these six stocks was remarkably consistent; when stocks lose 70-80\% of HDAs, disproportionately large SSB declines are likely to occur. We propose that spatial thresholds could serve as spatial reference points to complement existing SSB limit reference points (LRPs). For some stocks we identify spatial thresholds which correspond to SSB levels that exceed those associated with the designated SSB LRP, suggesting that a review of these SSB LRPs warrants merit. For other stocks, spatial reference points can be used in concert with SSB reference points, strengthening efforts to incorporate a precautionary approach to fisheries management. Our results warrant further research into the general application of HDA as spatial limit and target reference points for fisheries management in addition to other population status indicators within a broad recovery framework.",10.1093/icesjms/fsw123,NA,1054-3139,1095-9289,ISI:000402376300004,2468-2478,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000387216300025,article,"Fuda, Rebecca K. and Ryan, Sadie J. and Cohen, Jonathan B. and Hartter, Joel and Frair, Jacqueline L.","Assessing impacts to primary productivity at the park edge in Murchison Falls Conservation Area, Uganda",ECOSPHERE,2016,7,10,OCT,n,"Human activities around parks can alter vegetation patterns within them, resulting in edge effects that degrade their ability to sustain ecological processes and support biodiversity. We quantified vegetation patterns and edge effects over a large geographic extent in Murchison Falls Conservation Area, Uganda, using freely available remotely sensed data. Over a 13-yr period, we quantified seasonal patterns in productivity using the Normalized Difference Vegetation Index (NDVI), comparing the park exterior, a boundary zone <= 10 km from the border inside the park, and the park interior. To identify the extent of edge effects, we further fit mixed models by vegetation type within 1-km bands within the boundary zone. Productivity was higher in the park interior than exterior in both wet and dry seasons, and in the wet season, it was also lower in the boundary zone than the interior. NDVI variability differed between seasons; it declined from exterior to interior in the wet season, but was highest in the boundary zone and similar between interior and exterior during the dry season. Within the boundary zone, edge effects varied by land cover type and extended 4-6 km into MFCA. Abrupt differences in vegetation patterns between the park and adjacent unprotected areas indicated a ``hard edge{''} in this system. While hard edges are readily apparent, the subtle changes in productivity that extend into and degrade park systems are harder to detect. We demonstrated a low-cost and novel approach to detect such effects using readily available satellite imagery, which indicated human influence affecting 29-40\% of the park. As human populations grow, parks will become further isolated, and measuring and managing edge effects may be crucial to achieving conservation objectives.",10.1002/ecs2.1486,NA,2150-8925,NA,ISI:000387216300025,NA,"Ryan, Sadie/0000-0002-4308-6321 Frair, Jacqueline/0000-0002-8055-2213",NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000388785300003,article,"Modica, Larissa and Cordoba, Pilar and Rodriguez-Cabello, Cristina and Sanchez, Francisco and Velasco, Francisco",A new approach to species distributional indicators for the Marine Strategy Framework Directive (MSFD),ECOLOGICAL INDICATORS,2016,67,NA,AUG,n,"We propose alternative fish-populations spatial indicators for use in the Marine Strategy Framework Directive (MSFD). Following Commission Decision 2010/477, we have applied two different spatial indicators to three fish populations with ``slow type{''} life-history traits, i.e. slow growing like Helicolenus daclylopterus, or large bodied like Merluccius merluccius and Lophius budegassa. We tested their efficiency separately and combined. One of these indicators, the presence/absence of the population in sampling squares, had already been applied during the initial assessment of the MSFD in Spain. Another indicator, the geographical spread, is proposed here as a new monitoring tool for the MSFD in Spanish waters. `` The results demonstrate for the three populations analyzed that neither indicator was sufficient alone to describe the population spatial pattern or its evolution. Thus, the approach to implementing the MSFD indicated in Commission Decision 2010/477 is not sufficient to provide integrated information about the spatial behavior of the fish populations analyzed. Although numerical targets or threshold values cannot be set, directional targets could be proposed, based on the results of both indicators, if evaluation of them is extended to more species and more geographical areas. The analysis could be extended to other ``slow type{''} populations within the fish community and also to different ecoregions. We propose an approach including the estimation of two different indicators to monitoring both the area occupied and the geographical spread of fish populations within communities, interpreting them together to generate a more complete picture of the spatial patterns of those populations. In spite of the difficulties in fixing numerical targets or thresholds, or in distinguishing between environmentally and human driven changes in the population spatial distributions, this approach helps to summarize fish spatial behavior. It improves information from the indicators applied alone and reduces the requirement for a large number of maps (except for some particular event or population). The proposed indicators can be readily used by managers and politicians. (C) 2016 Elsevier Ltd. All rights reserved.",10.1016/j.ecolind.2016.02.010,NA,1470-160X,1872-7034,ISI:000388785300003,21-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000370955300009,article,"Rayfield, Bronwyn and Pelletier, David and Dumitru, Maria and Cardille, Jeffrey A. and Gonzalez, Andrew",Multipurpose habitat networks for short-range and long-range connectivity: a new method combining graph and circuit connectivity,METHODS IN ECOLOGY AND EVOLUTION,2016,7,2,FEB,n,"Biodiversity conservation in landscapes undergoing climate and land-use changes requires designing multipurpose habitat networks that connect the movements of organisms at multiple spatial scales. Short-range connectivity within habitat networks provides organisms access to spatially distributed resources, reduces local extinctions and increases recolonization of habitat fragments. Long-range connectivity across habitat networks facilitates annual migrations and climate-driven range shifts. We present a method for identifying a multipurpose network of forest patches that promotes both short- and long-range connectivity. Our method uses both graph-theoretic analyses that quantify network connectedness and circuit-based analyses that quantify network traversability as the basis for identifying spatial conservation priorities on the landscape. We illustrate our approach in the agroecosystem, bordered by the Laurentian and Appalachian mountain ranges, that surrounds the metropolis of Montreal, Canada. We established forest conservation priorities for the ovenbird, a Neotropical migrant, sensitive to habitat fragmentation that breeds in our study area. All connectivity analyses were based on the same empirically informed resistance surface for ovenbird, but habitat pixels that facilitated short- and long-range connectivity requirements had low spatial correlation. The trade-off between connectivity requirements in the final ranking of conservation priorities showed a pattern of diminishing returns such that beyond a threshold, additional conservation of long-range connectivity had decreased effectiveness on the conservation of short-range connectivity. Highest conservation priority was assigned to a series of stepping stone forest patches across the study area that promote traversability between the bordering mountain ranges and to a collection of small forest fragments scattered throughout the study area that provide connectivity within the agroecosystem. Landscape connectivity is important for the ecology and genetics of populations threatened by climate change and habitat fragmentation. Our method has been illustrated as a means to conserve two critical dimensions of connectivity for a single species, but it is designed to incorporate a variety of connectivity requirements for many species. Our approach can be tailored to local, regional and continental conservation initiatives to protect essential species movements that will allow biodiversity to persist in a changing climate.",10.1111/2041-210X.12470,NA,2041-210X,2041-2096,ISI:000370955300009,222-231,"Cardille, Jeffrey/0000-0002-4667-9085 Gonzalez, Andrew/0000-0001-6075-8081",NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000367413500013,article,"Collins, O. C. and Duffy, K. J.",Consumption threshold used to investigate stability and ecological dominance in consumer-resource dynamics,ECOLOGICAL MODELLING,2016,319,SI,10-Jan,n,"Understanding consumer resource population dynamics can be important to an understanding of the overall ecology of systems. For example, the tree-grass continuum dynamics of savannas, an important ecological biome, is influenced by the population dynamics. Here we investigate herbivory driven population dynamics of a savanna using a simple model of the interactions of the dominant players, namely: trees, grasses, browsers, grazers and mixed browsers-grazers. We introduce a consumption threshold that summarises some of the parameters and this is used as a guide to understanding the dynamics. This number is used in investigating system stability and sensitivity to parameter fluctuations. It is also used to identify degrees of ecological dominance. (C) 2015 Elsevier B.V. All rights reserved.",10.1016/j.ecolmodel.2015.03.021,NA,0304-3800,1872-7026,ISI:000367413500013,155-162,"Collins, Obiora/0000-0001-9426-6763 Duffy, Kevin/0000-0002-2580-8984",NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000368521900052,article,"Buder, Thomas and Deutsch, Andreas and Klink, Barbara and Voss-Boehme, Anja",Model-Based Evaluation of Spontaneous Tumor Regression in Pilocytic Astrocytoma,PLOS COMPUTATIONAL BIOLOGY,2015,11,12,DEC,n,"Pilocytic astrocytoma (PA) is the most common brain tumor in children. This tumor is usually benign and has a good prognosis. Total resection is the treatment of choice and will cure the majority of patients. However, often only partial resection is possible due to the location of the tumor. In that case, spontaneous regression, regrowth, or progression to a more aggressive form have been observed. The dependency between the residual tumor size and spontaneous regression is not understood yet. Therefore, the prognosis is largely unpredictable and there is controversy regarding the management of patients for whom complete resection cannot be achieved. Strategies span from pure observation (wait and see) to combinations of surgery, adjuvant chemotherapy, and radiotherapy. Here, we introduce a mathematical model to investigate the growth and progression behavior of PA. In particular, we propose a MARKOV chain model incorporating cell proliferation and death as well as mutations. Our model analysis shows that the tumor behavior after partial resection is essentially determined by a risk coefficient., which can be deduced from epidemiological data about PA. Our results quantitatively predict the regression probability of a partially resected benign PA given the residual tumor size and lead to the hypothesis that this dependency is linear, implying that removing any amount of tumor mass will improve prognosis. This finding stands in contrast to diffuse malignant glioma where an extent of resection threshold has been experimentally shown, below which no benefit for survival is expected. These results have important implications for future therapeutic studies in PA that should include residual tumor volume as a prognostic factor.",10.1371/journal.pcbi.1004662,e1004662,1553-734X,1553-7358,ISI:000368521900052,NA,"Voss-Bohme, Anja/0000-0001-6510-8694",NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000351228900024,article,"Ji, Zhou and Card, Kyle J. and Dazzo, Frank B.",CMEIAS JFrad: A Digital Computing Tool to Discriminate the Fractal Geometry of Landscape Architectures and Spatial Patterns of Individual Cells in Microbial Biofilms,MICROBIAL ECOLOGY,2015,69,3,APR,n,"Image analysis of fractal geometry can be used to gain deeper insights into complex ecophysiological patterns and processes occurring within natural microbial biofilm landscapes, including the scale-dependent heterogeneities of their spatial architecture, biomass, and cell-cell interactions, all driven by the colonization behavior of optimal spatial positioning of organisms to maximize their efficiency in utilization of allocated nutrient resources. Here, we introduce CMEIAS JFrad, a new computing technology that analyzes the fractal geometry of complex biofilm architectures in digital landscape images. The software uniquely features a data-mining opportunity based on a comprehensive collection of 11 different mathematical methods to compute fractal dimension that are implemented into a wizard design to maximize ease-of-use for semi-automatic analysis of single images or fully automatic analysis of multiple images in a batch process. As examples of application, quantitative analyses of fractal dimension were used to optimize the important variable settings of brightness threshold and minimum object size in order to discriminate the complex architecture of freshwater microbial biofilms at multiple spatial scales, and also to differentiate the spatial patterns of individual bacterial cells that influence their cooperative interactions, resource use, and apportionment in situ. Version 1.0 of JFrad is implemented into a software package containing the program files, user manual, and tutorial images that will be freely available at http://cme.msu.edu/cmeias/. This improvement in computational image informatics will strengthen microscopy-based approaches to analyze the dynamic landscape ecology of microbial biofilm populations and communities in situ at spatial resolutions that range from single cells to microcolonies.",10.1007/s00248-014-0495-1,NA,0095-3628,1432-184X,ISI:000351228900024,710-720,"Card, Kyle/0000-0002-0462-2777",NA,NA,NA,NA,NA,NA,NA,NA
