label,type,series,title,volume,isbn,doi,booktitle,publisher,author,editor,year,pages,issn,number,journal,file,url,language,shorttitle,urldate,keywords,copyright,pmid,note,pmcid,address,institution,keep_yn,abstract
wang_method_2005,article,NA,A method for detecting season-dependent modes of climate variability: {S}-{EOF} analysis,32,NA,10.1029/2005GL022709,NA,NA,"Wang, B and An, SI month = aug,",NA,2005,NA,0094-8276,15,GEOPHYSICAL RESEARCH LETTERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,"anomalous climate is often regulated by the annual cycle. based on this physical consideration, we propose a new method termed as season-reliant empirical orthogonal function (s-eof) analysis to detect major modes of climate variability. the s-eof analysis of indo-pacific sst during the past 54 years reveals two statistically significant leading modes, which are not obtainable by using conventional eof analysis. these modes represent the indo-pacific low-frequency (lf) and quasi-biennial (qb) modes associated enso, and reveal the fundamental differences between the lf and qb modes in their seasonal evolution, fractional variance structure, and interdecadal variation and trend. the interdecadal variability is coupled with the lf mode, suggesting that decadal-interdecadal sst variation is primarily represented by the enso-like interdecadal regime shift in the late 1970s. a warming trend is mingled with the qb mode, accounting for a large portion of the local sst variability in the maritime continent-western pacific horseshoe region."
howard_application_2007,article,NA,Application of the sequential t-test algorithm for analysing regime shifts to the southern {Benguela} ecosystem,29,NA,10.2989/AJMS.2007.29.3.11.341,NA,NA,"Howard, J. A. E. and Jarre, A. and Clark, A. E. and Moloney, C. L. month = dec,",NA,2007,437--451,1814-232X,3,AFRICAN JOURNAL OF MARINE SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,"long-term ecosystem changes, such as regime shifts, have occurred in several marine ecosystems worldwide. multivariate statistical methods have been used to detect such changes. a new method known as the sequential t-test algorithm for analysing regime shifts (stars) is applied to a set of biological state variables as well as environmental and anthropogenic forcing variables in the southern benguela. the method is able to correct for auto-correlation within time-series by a process known as prewhitening. all variables were tested with and without prewhitening. shifts that were detected with both methods were termed robust. the stars method detected shifts in relatively short time-series and identified when these shifts occurred without a priori hypotheses. shifts were generally well detected at the end of time-series, but further development of the method is needed to enhance its performance for auto-correlated time-series. since 1950, two major long-term ecosystem changes were identified for the southern benguela. the first change occurred during the 1960s, caused predominantly by heavy fishing pressure but with some environmental forcing. the second change occurred in the early 2000s, caused mainly by environmental forcing. to strengthen these findings, further analyses should be carried out using different methods."
he_new_2008,article,NA,A new method for abrupt change detection in dynamic structures,15,NA,10.5194/npg-15-601-2008,NA,NA,"He, W. P. and Feng, G. L. and Wu, Q. and Wan, S. Q. and Chou, J. F.",NA,2008,601--606,1023-5809,4,NONLINEAR PROCESSES IN GEOPHYSICS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,"based on detrended fluctuation analysis (dfa), we propose a new method - moving detrended fluctuation analysis (mdfa) - to detect abrupt change in dynamic structures. application of this technique shows that this method may be of use in detecting time-instants of abrupt change in dynamic structures and we even find that the mdfa results almost do not depend on length of subseries, and are less affected by noise."
ahmad_using_2016,article,NA,Using {Fisher} information to track stability in multivariate systems,3,NA,10.1098/rsos.160582,NA,NA,"Ahmad, Nasir and Derrible, Sybil and Eason, Tarsha and Cabezas, Heriberto month = nov,",NA,2016,160582,2054-5703,11,Open Science,Full Text PDF:/Users/jessicaburnett/Zotero/storage/8SRJ5GZD/Ahmad et al. - 2016 - Using Fisher information to track stability in mul.pdf:application/pdf;Snapshot:/Users/jessicaburnett/Zotero/storage/JSH7XNBN/160582.html:text/html,http://rsos.royalsocietypublishing.org/content/3/11/160582,en,NA,11/1/17,NA," 2016 The Authors.. Published by the Royal Society under the terms of the Creative Commons Attribution License http://creativecommons.org/licenses/by/4.0/, which permits unrestricted use, provided the original author and source are credited.",NA,NA,NA,NA,NA,n,"natural hydrological regimes are essential to the stability of river basins. while numerous efforts have been put forth to characterize flow regime alterations driven by climate change and human activities, few approaches have been proposed to explore cha"
scheffer_anticipating_2012,article,NA,Anticipating {Critical} {Transitions,338,NA,10.1126/science.1225244,NA,NA,"Scheffer, Marten and Carpenter, Stephen R. and Lenton, Timothy M. and Bascompte, Jordi and Brock, William and Dakos, Vasilis and Koppel, Johan van de and Leemput, Ingrid A. van de and Levin, Simon A. and Nes, Egbert H. van and Pascual, Mercedes and Vandermeer, John month = oct,",NA,2012,344--348,"0036-8075, 1095-9203",6105,Science,Snapshot:/Users/jessicaburnett/Zotero/storage/HXSGXX2K/tab-pdf.html:text/html,http://science.sciencemag.org/content/338/6105/344,en,NA,2/1/18,NA,"Copyright  2012, American Association for the Advancement of Science",23087241,NA,NA,NA,NA,n,"tipping points in complex systems may imply risks of unwanted collapse, but also opportunities for positive change. our capacity to navigate such risks and opportunities can be boosted by combining emerging insights from two unconnected fields of research. one line of work is revealing fundamental architectural features that may cause ecological networks, financial markets, and other complex systems to have tipping points. another field of research is uncovering generic empirical indicators of the proximity to such critical thresholds. although sudden shifts in complex systems will inevitably continue to surprise us, work at the crossroads of these emerging fields offers new approaches for anticipating critical transitions."
seddon_quantitative_2014,article,NA,A quantitative framework for analysis of regime shifts in a {Galpagos} coastal lagoon,95,NA,10.1890/13-1974.1,NA,NA,"Seddon, Alistair W. R. and Froyd, Cynthia A. and Witkowski, Andrzej and Willis, Katherine J. month = nov,",NA,2014,3046--3055,1939-9170,11,Ecology,Full Text PDF:/Users/jessicaburnett/Zotero/storage/DV9IRK9L/Seddon et al. - 2014 - A quantitative framework for analysis of regime sh.pdf:application/pdf;Snapshot:/Users/jessicaburnett/Zotero/storage/QWZD3KE9/abstract\;jsessionid=1D601833A7A7B8760BAEDB428B8E5613.html:text/html,http://onlinelibrary.wiley.com/doi/10.1890/13-1974.1/abstract,en,NA,1/4/18,"lake, succession, regime shifts, ecosystems, decline, shallow, sea, holocene, paleoecology, abrupt climate-change, abrupt ecological change, diatoms, ecological change, extrinsic and intrinsic ecological   dynamics, extrinsic and intrinsic ecological dynamics, generalized nonlinear least squares, mangroves, microbial   mats, microbial mats",NA,NA,NA,NA,NA,NA,m,"regime shifts are often used to describe sharp changes between two or more ecological states, each characterized by their own dynamics, stochastic fluctuations, or cycles. ecological theory indicates they can occur either as a result of an abrupt environmental forcing (extrinsic regime shift), or be indicative of complex responses to local-scale dynamics and thresholds (intrinsic regime shift). one important area of ecological research is to develop quantitative tools to analyze regime shifts, but there are few studies that have applied these methods to the long-term ecological record. in this study, we introduce a framework to investigate regime shifts in diatom assemblages and mangrove ecosystem dynamics in a coastal lagoon from the galpagos islands over the past 2600 years. the framework integrates a set of established statistical methodologies for investigating regime shift dynamics in long-term ecological records. we use these methods to (1) identify the presence of regime shifts; (2) test for a series of hypothetical relationships (i.e., linear through to threshold) between ecological response and environment using nonlinear regression; and (3) investigate the relative importance of intrinsic and extrinsic dynamics in response to environmental perturbations. the transitions in the diatoms closely track the sequence of disturbance, recovery, and habitat shifts that have occurred in the lagoon over the past 2600 years, demonstrating extrinsic responses to environmental forcing. in contrast, the shift from a mangrove- to a microbial mat-dominated system 945 cal yr bp provides potential evidence of an intrinsic regime shift. our framework enables robust interpretations into the underlying dynamics of regime shifts in the paleoecological record and is widely applicable for investigating abrupt ecological changes in a range of systems."
carpenter_new_2014,article,NA,A new approach for rapid detection of nearby thresholds in ecosystem time series,123,NA,10.1111/j.1600-0706.2013.00539.x,NA,NA,"Carpenter, Stephen R. and Brock, William A. and Cole, Jonathan J. and Pace, Michael L. month = mar,",NA,2014,290--297,0030-1299,3,Oikos,Fulltext:/Users/jessicaburnett/Zotero/storage/8EKFC4IU/Carpenter et al. - 2014 - A new approach for rapid detection of nearby thres.pdf:application/pdf;Snapshot:/Users/jessicaburnett/Zotero/storage/CT6UGVBP/j.1600-0706.2013.00539.html:text/html,NA,English,NA,NA,"regime shifts, indicators, ecological-systems, early-warning signals, critical   transitions, state, change-point detection",NA,NA,WOS:000331660800004,NA,NA,NA,m,"massive changes to ecosystems sometimes cross thresholds from which recovery can be difficult, expensive and slow. these thresholds are usually discovered in post hoc analyses long after the event occurred. anticipating these changes prior to their occurrence could give managers a chance to intervene. here we present a novel approach for anticipating ecosystem thresholds that combines resilience indicators with quickest detection of change points. unlike existing methods, the quickest detection method is updated every time a data point arrives, and minimizes the time to detect an approaching threshold given the users' tolerance for false alarms. the procedure accurately detected an impending regime shift in an experimentally manipulated ecosystem. an ecosystem model was used to determine if the method can detect an approaching threshold soon enough to prevent a regime shift. when the monitored variable was directly involved in the interaction that caused the regime shift, detection was quick enough to avert collapse. when the monitored variable was only indirectly linked to the critical transition, detection came too late. the procedure is useful for assessing changes in resilience as ecosystems approach thresholds. however some thresholds cannot be detected in time to prevent regime shifts, and surprises will be inevitable in ecosystem management."
zhou_one.step_2008,article,NA,One-step approximations for detecting regime changes in the state space model with application to the influenza data,52,NA,https://doi.org/10.1016/j.csda.2007.08.019,NA,NA,"Zhou, Tianni and Shumway, Robert",NA,2008,2277 -- 2291,0167-9473,5,Computational Statistics \& Data Analysis,NA,http://www.sciencedirect.com/science/article/pii/S0167947307003325,NA,NA,NA,"EM algorithm, Gibbs sampling, Hidden Markov model, Influenza, Kalman filter, Kalman smoother, Markov chain Monte Carlo, State space model with switching",NA,NA,NA,NA,NA,NA,m,"kim and nelson [1999. state space models with regime switching. mit press, cambridge, ma] and others extended the framework of state space models involving independent regime changes to the markov dependent case. the cost of dealing with state space models with markov switching is high in computational effort because of the number of the possible paths through the chain. thus it is necessary to make some approximations in order to obtain a computationally feasible algorithm for estimation. the approximations depend on modified smoothing and filtering recursions that can be easily incorporated into an em algorithm for maximum likelihood estimation. to investigate the accuracy of approximations, we develop a new method to obtain more exact solutions, and then compare the two methods. we apply both methods to a simulated series. the result shows that employing the approximation-based algorithm not only provides accurate results but also leads to a significant reduction in the computational costs. we also apply the methods to an influenza mortality series, in which we develop a model that is general enough to include most structural models useful in monitoring changes of regime. the model proposed has the flexibility to deal with a wide range of problems involving possible regime shifts in pattern that may be seen to occur in many biological, medical and epidemiological studies."
lopez.rubio_foreground_2015,article,NA,Foreground detection for moving cameras with stochastic approximation,68,NA,https://doi.org/10.1016/j.patrec.2015.09.007,NA,NA,"Lpez-Rubio, Francisco Javier and Lpez-Rubio, Ezequiel",NA,2015,161 -- 168,0167-8655,NA,Pattern Recognition Letters,NA,http://www.sciencedirect.com/science/article/pii/S0167865515003177,NA,NA,NA,"Background modeling, Covariance matrix interpolation, Moving camera, Stochastic approximation",NA,NA,NA,NA,NA,NA,n,"most foreground detection algorithms do not perform well with pan-tilt-zoom (ptz) cameras for video surveillance and static cameras that experience vibration, since they rely on the assumption that the background does not move. here a novel approach based on stochastic approximation learning of probabilistic mixtures is proposed. it assumes that the camera can zoom and move in both horizontal and vertical planes, and it is also adequate for egomotion sequences without abrupt changes. in other words it is a non panoramic model for moving cameras, where the camera movement allows to reuse enough background information from the previous frame. two pixel models are used, one to follow the camera movement and the other to detect foreground objects. a procedure is developed to transform and interpolate the covariance matrices of the gaussian mixture components as the camera moves and zooms. moreover, a background extrapolation method is presented in order to generate new mixture models for previously unseen regions. the proposal is compared with some state-of-the-art alternatives, with competitive results both quantitatively and qualitatively."
atlati_effect_2015,article,NA,Effect of the local friction and contact nature on the {Built}-{Up} {Edge} formation process in machining ductile metals,90,NA,https://doi.org/10.1016/j.triboint.2015.04.024,NA,NA,"Atlati, S. and Haddag, B. and Nouari, M. and Moufki, A.",NA,2015,217 -- 227,0301-679X,NA,Tribology International,NA,http://www.sciencedirect.com/science/article/pii/S0301679X15001759,NA,NA,NA,"ALE-FE modelling, Built-Up Edge, Local friction, Machining",NA,NA,NA,NA,NA,NA,n,"the bue can affect the tool wear and surface integrity when machining ductile metals. the main goal of the present work is to investigate the close link between the bue formation and the tribological behaviour at the toolworkmaterial interface when machining ductile metals. machining aa2024-t351 aluminium alloy with cemented carbide tool wcco is considered as a case study. a new method based on the contact conditions variation (i.e. introduction of a time-dependent friction coefficient) at the toolworkmaterial interface is proposed to predict the bue formation in the frame of a finite element (fe) modelling. a 2d ale-fe model of orthogonal cutting has been developed for this purpose. two cases have been considered, which correspond respectively to an abrupt change and a gradual evolution of the friction at the toolworkmaterial interface. results are discussed based on the effects of the friction change on predicted thermomechanical fields at the cutting zone."
quiros.tortos_reducing_2016,article,NA,Reducing excessive standing phase angle differences: {A} new approach based on {OPF} and wide area measurements,78,NA,https://doi.org/10.1016/j.ijepes.2015.11.078,NA,NA,"Quirs-Torts, Jairo and Wall, Peter and Terzija, Vladimir",NA,2016,13 -- 21,0142-0615,NA,International Journal of Electrical Power \& Energy Systems,NA,http://www.sciencedirect.com/science/article/pii/S0142061515005098,NA,NA,NA,"Optimal power flow, Phasor measurement units, Power system restoration, Rotor shaft impacts, Standing phase angle, Wide Area Monitoring Systems",NA,NA,NA,NA,NA,NA,n,"power system restoration is a complex and vital task, which can be viewed as the repeated reconnection of de-energised elements of the network in blackout to re-energise them. however, the restoration process will be delayed if an excessive standing phase angle difference (spad) is detected across lines, and any delay in the restoration increases its economic and social costs. this paper proposes a two-step method for reducing excessive spad. in contrast to conventional techniques, this new approach optimally reschedules the machines to reduce the excessive spad, whilst avoiding abrupt changes in power output, and uses real-time information that enables operators to perform restoration in real-time. the method is tested using the ieee 118-bus test system, and the results demonstrate that it can quickly determine a solution that decreases excessive spads to values below a user-defined threshold, whilst reducing operational cost and requiring changes in the power output of machines smaller than a given percentage of the nominal power output."
