internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
137122,Epirinus gratus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Epirinus,gratus,,,,,"Péringuey, 1901",The genus<strong>&#160;</strong><em>Epirinus</em>&#160;currently comprises 29 species with a combined distribution restricted primarily to the coolest climates of South Africa (ScarabNet 2009).
137123,Neosisyphus macrorubrus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Neosisyphus,macrorubrus,,,,,"(Paschalidis, 1974)","The genus&#160;<em>Neosisyphus</em>&#160;Müller 1942 shows a widespread distribution in the Oriental and Afrotropical regions and is currently represented by 22 species in the Afrotropical region (ScarabNet 2009). It is in urgent need of revision. This species has frequently been cited as&#160;<em>N. macroruber</em>&#160;for reasons of gender in&#160;Latin&#160;usage, although no formal abridgement of the name has been published. It is a close relative of&#160;<em>N. rubrus</em>&#160;Paschalidis 1974, which has also been assessed for the IUCN Red List."
137136,Onthophagus rufosignatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,rufosignatus,,,,,"Macleay, 1864","<p><span lang=""EN-GB"">The cosmopolitan genus <em>Onthophagus </em>Latreille, 1802 is the largest of the Australian dung beetle fauna and comprises 193 described and 41 undescribed species (Matthews 1972, Storey 1977, Storey and Weir 1990, T. Weir pers. comm. and G.B. Monteith pers. comm. 2012).</p>"
137154,Scarabaeus galenus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Scarabaeus,galenus,,,,,"Westwood, 1847","The genus <em><span class=""SpellE"">Scarabaeus </em>Linnaeus  1758 ranges across the <span class=""SpellE"">Palaearctic</span>, Oriental and <span class=""SpellE"">Afrotropical regions and is currently considered to comprise  four subgenera (<span class=""SpellE"">Forgie</span> <em>et al</em>. 2006):&#160;<span class=""SpellE""><em>Scarabaeus</em> Linnaeus  1758, <em><span class=""SpellE"">Scarabeolus</span> </em><span class=""SpellE"">Balthasar 1965, <em><span class=""SpellE"">Kheper</span> </em><span class=""SpellE"">Janssens 1940, <em><span class=""SpellE""><span class=""GramE"">Sceliages</span> </em> Westwood 1837, with a representation in the <span class=""SpellE"">Afrotropical</span> region of 55, 27, 21 and seven species  respectively. This species belongs to the subgenus&#160;<span class=""SpellE""><em>Scarabaeus</em>. This  species is currently considered to comprise two varieties, a typically finer  punctuate variety that is widespread in southern Africa and a more coarsely  <span class=""SpellE"">punctate</span> variety that occurs in the lowlands of  southeast east Mozambique and northeast South Africa and may deserve species  status."
137160,Canthon podagricus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthon,podagricus,,,,,"Harold, 1868","<p><em>Canthon </em>is a diverse and heterogeneous genus of dung beetles. Currently, the genus is composed of nine subgenera: <em>Boreocanthon</em>,<em> Canthon </em>s.str., <em>Francmonrosia</em>,<em> Glaphyrocanthon</em>,<em> Goniocanthon</em>,<em> Nesocanthon</em>, <em>Peltecanthon</em>,<em> Pseudepilissus</em>, and&#160;<em>Trichocanthon</em>. Of these, only <em>Boreocanthon </em>and <em>Nesocanthon </em>do not occur in South America.&#160;</p>"
137161,Eodrepanus fastiditus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Eodrepanus,fastiditus,,,,,"(Péringuey, 1901)","This species has recently been transferred from the genus&#160;<span class=""SpellE""><em>Drepanocerus</em> Kirby  1828 to the new genus <span class=""SpellE""><em>Eodrepanus</em></span> <span class=""SpellE"">Barbero, <span class=""SpellE"">Pallestrini</span> &amp; <span class=""SpellE"">Roggero 2009. It is represented in both the <span class=""SpellE"">Afrotropical</span> and Oriental regions with five species found in  the <span class=""SpellE"">Afrotropical region currently considered valid.  <span class=""SpellE""><em>Eodrepanus</em></span><em> <span class=""SpellE"">fastiditus</em> (<span class=""SpellE"">Péringuey</span>,  1901) is often confused with a close relatives <span class=""SpellE""><em>Eodrepanus</em><em> <span class=""SpellE"">bechynei</span></em> (<span class=""SpellE"">Janssens,  1953) and <span class=""SpellE""><em>Eodrepanus</em></span><em> <span class=""SpellE"">parallelus</em> (<span class=""SpellE"">Raffray</span>,  1877)."
137178,Phanaeus daphnis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Phanaeus,daphnis,,,,,"Harold, 1863",
137186,Onthophagus pugionatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,pugionatus,,,,,"Fahraeus, 1857","<p><em><span class=""SpellE"">Onthophagus<span class=""apple-converted-space"">&#160;</span></em><span class=""SpellE""><span class=""apple-converted-space"">Latreille</span><span class=""apple-converted-space""> 1802  is the most species-rich genus in the subfamily <span class=""SpellE"">Scarabaeinae, with a distribution extending from tropical to  warm temperate areas in the <span class=""SpellE"">Palaearctic</span>, <span class=""SpellE"">Afrotropical, Oriental, <span class=""SpellE"">Nearctic</span>,  <span class=""SpellE"">Neotropical and Australasian regions. There are some  791 species in the <span class=""SpellE"">Afrotropical</span> region that have been  divided into 32 species groups, of which 29 currently remain classified within  the genus (<span class=""SpellE"">ScarabNet 2009). Some of these groups  extend into the <span class=""SpellE"">Palaearctic</span> and Oriental regions, but  they have not yet been formally integrated into the <span class=""SpellE"">subgeneric classification system erected for these regions.  This species is classified in </span><span class=""SpellE""><em>Onthophagus</em> <span class=""apple-converted-space"">Group  24 (<span class=""SpellE"">d’Orbigny</span> 1913), which is widespread in the forest  and savannas of the <span class=""SpellE"">Afrotropical  region.</span></p>"
137191,Copris inhalatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Copris,inhalatus,,,,,"Quedenfeldt, 1884","The genus&#160;<em>Copris</em>&#160;shows widespread biogeographical occurrence across the Afrotropical, Palaearctic, Oriental, Nearctic and northern part of the Neotropical regions, with a current total of 105 species known from the Afrotropical region (ScarabNet 2009).&#160;<em>Copris inhalatus </em>comprises four subspecies, <em>Copris inhalatus inhalatus </em>(Quedenfeldt, 1884), <em>Copris inhalatus grandis</em> Nguyen-Phung &amp; Cambefort, 1986, <em>Copris inhalatus perturbator</em> Péringuey, 1901, and <em>Copris inhalatus santaeluciae</em> Nguyen-Phung &amp; Cambefort, 1986."
137194,Onthophagus fuscivestis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,fuscivestis,,,,,"D'Orbigny, 1902","<p></p><p><span class=""SpellE""><em>Onthophagus</em><span class=""apple-converted-space""><em>&#160;</em><span class=""SpellE"">Latreille</span> 1802 is the most species-rich genus in the  subfamily <span class=""SpellE"">Scarabaeinae, with a distribution extending  from tropical to warm temperate areas in the <span class=""SpellE"">Palaearctic</span>, <span class=""SpellE"">Afrotropical,  Oriental, <span class=""SpellE"">Nearctic</span>, <span class=""SpellE"">Neotropical and Australasian regions. There are some 791  species in the <span class=""SpellE"">Afrotropical</span> region that have been  divided into 32 species groups, of which 29 currently remain classified within  the genus (<span class=""SpellE"">ScarabNet 2009). Some of these groups  extend into the <span class=""SpellE"">Palaearctic</span> and Oriental regions, but  they have not yet been formally integrated into the <span class=""SpellE"">subgeneric classification system erected for these  regions.&#160;This species is classified in </span><span class=""SpellE""><em>Onthophagus</em> <span class=""apple-converted-space"">Group  23 (<span class=""SpellE"">d’Orbigny</span> 1913), which is widespread in the  forest, savanna and upland grassland of the <span class=""SpellE"">Afrotropical region.</span></p><p></p>"
137198,Heliocopris japetus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Heliocopris,japetus,,,,,"Klug, 1855","<p>The genus&#160;<em>Heliocopris </em>Hope 1837 is found in the Afrotropical and Oriental regions with one species shared between the Afrotropical and Palaearctic regions, possibly in a Saharo-Sindian pattern of distribution. Most of the taxa are endemic to the Afrotropical region where 44 species are currently recognized as valid (ScarabNet 2009).</p>"
137248,Scarabaeus damarensis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Scarabaeus,damarensis,,,,,"Janssens, 1940","The genus <span class=""SpellE""><em>Scarabaeus</em> Linnaeus  1758 ranges across the <span class=""SpellE"">Palaearctic</span>, Oriental and <span class=""SpellE"">Afrotropical regions and is currently considered to comprise  four subgenera (<span class=""SpellE"">Forgie</span> <em>et al</em>. 2006):&#160;<span class=""SpellE""><em>Scarabaeus</em> Linnaeus  1758, <span class=""SpellE""><em>Scarabeolus</em></span> <span class=""SpellE"">Balthasar 1965, <span class=""SpellE""><em>Kheper</em></span> <span class=""SpellE"">Janssens 1940, <span class=""SpellE""><span class=""GramE""><em>Sceliages</em></span>  Westwood 1837, with a representation in the <span class=""SpellE"">Afrotropical</span> region of 55, 27, 21 and seven species  respectively. This species belongs to the subgenus, <span class=""SpellE""><em>Scarabeolus</em>, which is  primarily restricted to Africa.</span>"
137249,Onthophagus bubalus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,bubalus,,,,,"Harold, 1867","<span class=""SpellE""><em>Onthophagus</em><span class=""apple-converted-space"">&#160;<span class=""SpellE"">Latreille</span> 1802 is the most species-rich genus in the  subfamily <span class=""SpellE"">Scarabaeinae, with a distribution extending  from tropical to warm temperate areas in the <span class=""SpellE"">Palaearctic</span>, <span class=""SpellE"">Afrotropical,  Oriental, <span class=""SpellE"">Nearctic</span>, <span class=""SpellE"">Neotropical and Australasian regions. There are some 791  species in the <span class=""SpellE"">Afrotropical</span> region that have been  divided into 32 species groups, of which 29 currently remain classified within  the genus (<span class=""SpellE"">ScarabNet 2009). Some of these groups  extend into the <span class=""SpellE"">Palaearctic</span> and Oriental regions, but  they have not yet been formally integrated into the <span class=""SpellE"">subgeneric classification system erected for these  regions.&#160;This species is classified in </span><span class=""SpellE""><em>Onthophagus</em><span class=""apple-converted-space""> Group  13 (<span class=""SpellE"">d'Orbigny</span> 1913), which is restricted to highland  regions in west central, northeast, east, and southern  Africa.</span>"
137280,Onthophagus cyaneoniger,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,cyaneoniger,,,,,"D'Orbigny, 1902","<span class=""SpellE""><em>Onthophagus</em><span class=""apple-converted-space"">&#160;<span class=""SpellE"">Latreille</span> 1802 is the most species-rich genus in the  subfamily <span class=""SpellE"">Scarabaeinae, with a distribution extending  from tropical to warm temperate areas in the <span class=""SpellE"">Palaearctic</span>, <span class=""SpellE"">Afrotropical,  Oriental, <span class=""SpellE"">Nearctic</span>, <span class=""SpellE"">Neotropical and Australasian regions. There are some 791  species in the <span class=""SpellE"">Afrotropical</span> region that have been  divided into 32 species groups, of which 29 currently remain classified within  the genus (<span class=""SpellE"">ScarabNet 2009). Some of these groups  extend into the <span class=""SpellE"">Palaearctic</span> and Oriental regions, but  they have not yet been formally integrated into the <span class=""SpellE"">subgeneric classification system erected for these  regions.&#160;This species is classified in </span><span class=""SpellE""><em>Onthophagus</em><span class=""apple-converted-space""> Group  23 (<span class=""SpellE"">d'Orbigny</span> 1913), which is widespread in the  forest, savanna and upland grassland of the <span class=""SpellE"">Afrotropical region.</span>"
137286,Caccobius ferrugineus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Caccobius,ferrugineus,,,,,"(Fåhraeus, 1857)","<p><span lang=""EN-GB"">The genus <em>Caccobius </em>Thomson 1859 is widespread in the Afrotropical, Oriental and Palaearctic regions. In the Afrotropical region, it is currently represented by 42 species that are considered valid (ScarabNet 2009).</p>"
137318,Gymnopleurus andreaei,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Gymnopleurus,andreaei,,,,,"Ferreira, 1954","The genus&#160;<em>Gymnopleurus</em> Illiger, 1803 shows a range in the Afrotropical, Oriental and Palaearctic regions. It is currently represented by 33 species in the Afrotropical region (ScarabNet 2009)."
137330,Onthophagus kavirondus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,kavirondus,,,,,"D'Orbigny, 1915","<p><span class=""SpellE""><em>Onthophagus</em><span class=""apple-converted-space"">&#160;<span class=""SpellE"">Latreille</span> 1802 is the most species-rich genus in the  subfamily <span class=""SpellE"">Scarabaeinae, with a distribution extending  from tropical to warm temperate areas in the <span class=""SpellE"">Palaearctic</span>, <span class=""SpellE"">Afrotropical,  Oriental, <span class=""SpellE"">Nearctic</span>, <span class=""SpellE"">Neotropical and Australasian regions. There are some 791  species in the <span class=""SpellE"">Afrotropical</span> region that have been  divided into 32 species groups, of which 29 currently remain classified within  the genus (<span class=""SpellE"">ScarabNet 2009). Some of these groups  extend into the <span class=""SpellE"">Palaearctic</span> and Oriental regions, but  they have not yet been formally integrated into the <span class=""SpellE"">subgeneric classification system erected for these  regions.&#160;This species is classified in </span><span class=""SpellE""><em>Onthophagus</em><span class=""apple-converted-space""> Group  16 (<span class=""SpellE"">d’Orbigny</span> 1913), which is widespread in forest,  savanna and grassland of the <span class=""SpellE"">Afrotropical region.  </span><em><span class=""SpellE"">Othophagus <span class=""SpellE"">kavirondus</span></em><span class=""apple-converted-space""> is  cited as the valid name for this species (Ferreira 1972, <span class=""SpellE"">Schoolmeesters 2011) but its synonym, </span><em><span class=""SpellE"">Onthophagus <span class=""SpellE"">kavirondi</span></em><span class=""apple-converted-space""> <span class=""SpellE"">d’Orbigny  1913, was described two years earlier.</span></p>"
137333,Canthidium latum,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthidium,latum,,,,,"(Blanchard, 1846)","<p><em>Canthidium</em><span class=""apple-converted-space""><em>&#160;</em></span><span class=""hps"">is a diverse genus, distributed</span><span class=""apple-converted-space"">&#160;</span>from the&#160;<span class=""hpsalt-edited"">United States<span class=""apple-converted-space"">&#160;</span>to Argentina.<span class=""apple-converted-space"">&#160;<span class=""hps"">The diversity</span><span class=""apple-converted-space"">&#160;<span class=""hps"">of the group</span><span class=""apple-converted-space"">&#160;<span class=""hps"">is also accompanied</span><span class=""apple-converted-space"">&#160;<span class=""hps"">by various</span><span class=""apple-converted-space"">&#160;<span class=""hps"">taxonomic</span><span class=""apple-converted-space"">&#160;<span class=""hps"">and nomenclatural</span><span class=""apple-converted-space"">&#160;<span class=""hps"">problems (Martínez and&#160;Halffter 1986).</span><span class=""apple-converted-space"">&#160;<span class=""hps"">In addition, the need for</span><span class=""apple-converted-space"">&#160;<span class=""hps"">taxonomic revisions</span><span class=""apple-converted-space"">&#160;<span class=""hps"">makes</span><span class=""apple-converted-space"">&#160;<span class=""hps"">the</span><span class=""apple-converted-space"">&#160;<span class=""hps"">accuracy in identification</span><span class=""apple-converted-space"">&#160;<span class=""hps"">of most South American species</span><span class=""apple-converted-space"">&#160;<span class=""hps"">an extremely difficult task.The genus still presents a considerable number of species to describe.</span></p>"
137390,Pedaria biseria,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Pedaria,biseria,,,,,"Josso &amp; Prevost, 2003",
137398,Catharsius pandion,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Catharsius,pandion,,,,,"Harold, 1877","The Oriental and Afrotropical genus&#160;<em>Catharsius </em>Hope 1837 is currently represented by 80 species in the Afrotropical region (ScarabNet 2009). There is undoubtedly a good deal of confusion in the taxonomy of <em>Catharsius&#160;pandion</em> and published distribution records need to be treated with caution. It appears that it is one of a complex of closely related species that are similar in appearance and difficult to separate since the diagnostic morphological features vary in prominence and shape according to body size. Although there is no doubt that the taxon treated here as <em>Catharsius&#160;pandion</em> is a valid species, the application of the name, <em>Catharsius&#160;pandion</em>, to this species needs to be validated by a revision of the group taxonomy."
137406,Canthon lituratus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthon,lituratus,,,,,"(Germar, 1813)","<p><em>Canthon </em>is a diverse and heterogeneous genus of dung beetles. Currently, the genus is composed of nine subgenera: <em>Boreocanthon</em>,<em> Canthon </em>s.str., <em>Francmonrosia</em>,<em> Glaphyrocanthon</em>,<em> Goniocanthon</em>,<em> Nesocanthon</em>, <em>Peltecanthon</em>,<em> Pseudepilissus</em>, and&#160;<em>Trichocanthon</em>. Of these, only <em>Boreocanthon </em>and <em>Nesocanthon </em>do not occur in South America.&#160;The genus is taxonomically well known.</p><p></p>"
137409,Demarziella imitatrix,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Demarziella,imitatrix,,,,,"Balthasar, 1967","The endemic Australian genus <em>Demarziella </em>Balthasar, 1961 comprises 14 described and two undescribed species&#160;(Matthews 1976, Matthews 1986, T. Weir pers. comm. and G.B. Monteith pers. comm. 2012)."
137411,Onitis mendax,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onitis,mendax,,,,,"Gillet, 1918","The genus&#160;<span class=""SpellE""><em>Onitis</em> <span class=""SpellE"">Fabricius</span> 1798 is widespread in the <span class=""SpellE"">Afrotropical, Oriental and <span class=""SpellE"">Palaearctic</span> regions. It is divided into 20 species groups of  which 13 groups and 130 species are represented in Africa (<span class=""SpellE"">ScarabNet 2009). This species belongs to <span class=""SpellE""><em>Onitis</em></span> Group 19, which  is <span class=""SpellE"">centred in dry to moist savannas throughout the  <span class=""SpellE"">Afrotropical</span> region and includes a number of known  elephant dung specialists occurring on either deep sands or finer-grained soils.  As in all <span class=""SpellE""><em>Onitis</em>, there is  variation in body size and the shape and prominence of diagnostic femoral  armament in males leading to synonyms for this widespread species described from  both Zimbabwe (<span class=""SpellE""><em>Onitis</em></span><em> <span class=""SpellE"">cerrutii</em> <span class=""SpellE"">Müller</span> 1949)  and Mozambique (<span class=""SpellE""><em>Onitis</em><em> <span class=""SpellE"">janssenii</span></em> Gomes <span class=""SpellE"">Alves  1954).</span>"
137424,Onthophagus humpatensis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,humpatensis,,,,,"Lansberge, 1886","<p><span class=""SpellE""><em>Onthophagus</em><span class=""apple-converted-space"">&#160;<span class=""SpellE"">Latreille</span> 1802 is the most species-rich genus in the  subfamily <span class=""SpellE"">Scarabaeinae, with a distribution extending  from tropical to warm temperate areas in the <span class=""SpellE"">Palaearctic</span>, <span class=""SpellE"">Afrotropical,  Oriental, <span class=""SpellE"">Nearctic</span>, <span class=""SpellE"">Neotropical and Australasian regions. There are some 791  species in the <span class=""SpellE"">Afrotropical</span> region that have been  divided into 32 species groups, of which 29 currently remain classified within  the genus (<span class=""SpellE"">ScarabNet 2009). Some of these groups  extend into the <span class=""SpellE"">Palaearctic</span> and Oriental regions, but  they have not yet been formally integrated into the <span class=""SpellE"">subgeneric classification system erected for these  regions.&#160;This species is classified in </span><span class=""SpellE""><em>Onthophagus</em><span class=""apple-converted-space""> Group  24 (<span class=""SpellE"">d’Orbigny</span> 1913), which is widespread in the forest  and savannas of the <span class=""SpellE"">Afrotropical  region.</span></p>"
137429,Onthophagus victoriensis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,victoriensis,,,,,"Blackburn, 1903","<p><span lang=""EN-GB"">The cosmopolitan genus <em>Onthophagus </em>Latreille, 1802 is the largest of the Australian dung beetle fauna and comprises 193 described and 41 undescribed species (Matthews 1972, Storey 1977, Storey and Weir 1990, T. Weir pers. comm. and G.B. Monteith pers. comm. 2012).</p>"
137430,Gymnopleurus reichei,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Gymnopleurus,reichei,,,,,"Waterhouse, 1890","The genus&#160;<em>Gymnopleurus</em> Illiger, 1803 shows a range in the Afrotropical, Oriental and Palaearctic regions. It is currently represented by 33 species in the Afrotropical region (ScarabNet 2009). Other than in colour, South African specimens do not appear to differ appreciably to <em>G. reichei</em> from Kenya."
137441,Onthophagus semimetallicus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,semimetallicus,,,,,"Lea, 1923","<p><span lang=""EN-GB"">The cosmopolitan genus <em>Onthophagus </em>Latreille, 1802 is the largest of the Australian dung beetle fauna and comprises 193 described and 41 undescribed species (Matthews 1972, Storey 1977, Storey and Weir 1990, T. Weir pers. comm. and G.B. Monteith pers. comm. 2012).</p>"
137442,Phanaeus tridens,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Phanaeus,tridens,,,,,"Castelnau, 1840",
137449,Copris morphaeus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Copris,morphaeus,,,,,"Gillet, 1932","The genus&#160;<em>Copris</em>&#160;shows widespread biogeographical occurrence across the Afrotropical, Palaearctic, Oriental, Nearctic and northern part of the Neotropical regions, with a current total of 105 species known from the Afrotropical region (ScarabNet 2009)."
137461,Onthophagus tamworthi,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,tamworthi,,,,,"Blackburn, 1903","<p><span lang=""EN-GB"">The cosmopolitan genus <em>Onthophagus </em>Latreille, 1802 is the largest of the Australian dung beetle fauna and comprises 193 described and 41 undescribed species (Matthews 1972, Storey 1977, Storey and Weir 1990, T. Weir pers. comm. and G.B. Monteith pers. comm. 2012).</p>"
137462,Pedaria tibialis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Pedaria,tibialis,,,,,"Josso &amp; Prevost, 2006",
137463,Onthophagus depressus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,depressus,,,,,"Harold, 1871","<p><span class=""SpellE""><span lang=""EN-GB""><em>Onthophagus</em></span><span class=""apple-converted-space""><span lang=""EN-GB""><em>&#160;</em><span class=""SpellE"">Latreille 1802 is the most species-rich  genus in the subfamily <span class=""SpellE"">Scarabaeinae</span>, with a  distribution extending from tropical to warm temperate areas in the Palaearctic,  <span class=""SpellE"">Afrotropical, Oriental, <span class=""SpellE"">Nearctic</span>, <span class=""SpellE"">Neotropical and  Australasian regions. There are some 791 species in the <span class=""SpellE"">Afrotropical</span> region that have been divided into 32 species  groups, of which 29 currently remain classified within the genus (<span class=""SpellE"">ScarabNet 2009). Some of these groups extend into the  Palaearctic and Oriental regions, but they have not yet been formally integrated  into the <span class=""SpellE"">subgeneric</span> classification system erected for  these regions.&#160;This species is classified in </span><span class=""SpellE""><span lang=""EN-GB""><em>Onthophagus</em></span><span class=""apple-converted-space""><span lang=""EN-GB"">  Group 32 (<span class=""SpellE"">d'Orbigny 1913), which is widely distributed  across the dry to moist savannas of the <span class=""SpellE"">Afrotropical</span>  region.</span></p>"
